contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2407,2023-07-18,17990,17990,17965,18085,17960,18085,18000,95,10,3,27.005,2,
al2401,2023-07-18,17945,17955,17890,18065,17870,18000,18000,45,45,1131,10180.205,10565,
al2401,2023-07-19,18000,18000,17890,17990,17890,17970,17950,-30,-50,830,7449.315,10786,
al2407,2023-07-19,18085,18000,,,,18000,18000,0,0,0,0,2,
al2401,2023-07-20,17970,17950,17975,18035,17925,18005,17985,55,35,906,8147.33,10830,
al2407,2023-07-20,18000,18000,18035,18035,18030,18030,18030,30,30,4,36.065,6,
al2401,2023-07-21,18005,17985,18110,18110,17950,18060,18020,75,35,985,8876.17,10942,
al2407,2023-07-21,18030,18030,18125,18125,18065,18070,18065,40,35,102,921.5,106,
al2401,2023-07-24,18060,18020,18010,18110,18005,18035,18055,15,35,911,8224.9425,10801,
al2407,2023-07-24,18070,18065,18130,18130,18130,18130,18130,65,65,1,9.065,107,
al2401,2023-07-25,18035,18055,18045,18245,18030,18215,18185,160,130,2071,18835.365,11700,
al2407,2023-07-25,18130,18130,18250,18250,18250,18250,18250,120,120,1,9.125,107,
al2407,2023-07-26,18250,18250,,,,18250,18250,0,0,0,0,107,
al2401,2023-07-26,18215,18185,18225,18265,18150,18200,18210,15,25,1362,12404.4125,11912,
al2401,2023-07-27,18200,18210,18165,18380,18120,18280,18265,70,55,1651,15081.055,12267,
al2407,2023-07-27,18250,18250,18220,18345,18220,18345,18340,95,90,101,926.36,8,
al2401,2023-07-28,18280,18265,18245,18280,18160,18215,18220,-50,-45,1762,16056.205,12367,
al2407,2023-07-28,18345,18340,,,,18305,18305,-35,-35,0,0,8,
al2401,2023-07-31,18215,18220,18220,18245,18155,18205,18200,-15,-20,990,9009.02,12554,
al2407,2023-07-31,18305,18305,18255,18285,18255,18285,18265,-20,-40,3,27.3975,11,
al2401,2023-08-01,18205,18200,18315,18460,18290,18370,18380,170,180,2500,22975.765,12718,
al2407,2023-08-01,18285,18265,18505,18505,18505,18505,18505,240,240,1,9.2525,12,
al2407,2023-08-02,18505,18505,18470,18470,18320,18325,18335,-180,-170,27,247.565,34,
al2401,2023-08-02,18370,18380,18340,18385,18270,18330,18325,-50,-55,1610,14753.8475,12730,
al2401,2023-08-03,18330,18325,18250,18285,18185,18255,18250,-70,-75,2539,23169.3425,13178,
al2407,2023-08-03,18325,18335,18300,18310,18270,18300,18295,-35,-40,64,585.5525,82,
al2401,2023-08-04,18255,18250,18225,18375,18200,18290,18295,40,45,2489,22768.2975,13760,
al2407,2023-08-04,18300,18295,18325,18325,18325,18325,18325,30,30,1,9.1625,82,
al2401,2023-08-07,18290,18295,18280,18320,18230,18285,18270,-10,-25,1499,13695.525,14071,
al2407,2023-08-07,18325,18325,18330,18330,18290,18290,18310,-35,-15,2,18.31,83,
al2401,2023-08-08,18285,18270,18285,18355,18220,18240,18270,-30,0,702,6414.49,14160,
al2407,2023-08-08,18290,18310,18290,18310,18290,18310,18300,0,-10,2,18.3,83,
al2407,2023-08-09,18310,18300,18230,18270,18220,18270,18240,-30,-60,3,27.36,84,
al2401,2023-08-09,18240,18270,18145,18280,18085,18260,18190,-10,-80,1638,14900.315,14489,
al2407,2023-08-10,18270,18240,18255,18255,18220,18220,18245,-20,5,16,145.9825,90,
al2401,2023-08-10,18260,18190,18210,18240,18150,18190,18190,0,0,1960,17830.725,15080,
al2401,2023-08-11,18190,18190,18230,18245,18165,18180,18205,-10,15,1194,10869.205,15092,
al2407,2023-08-11,18220,18245,18250,18295,18235,18235,18240,-10,-5,28,255.4175,95,
al2401,2023-08-14,18180,18205,18120,18120,17980,17980,18055,-225,-150,3404,30730.3,15543,
al2407,2023-08-14,18235,18240,18110,18135,18085,18085,18090,-155,-150,20,180.9175,111,
al2401,2023-08-15,17980,18055,17950,18190,17930,18185,18115,130,60,2928,26526.7125,15709,
al2407,2023-08-15,18085,18090,,,,18100,18100,10,10,0,0,111,
al2401,2023-08-16,18185,18115,18110,18195,18025,18025,18075,-90,-40,3522,31837.61,16214,
al2407,2023-08-16,18100,18100,18155,18160,18080,18080,18135,-20,35,23,208.6,113,
al2407,2023-08-17,18080,18135,18060,18060,18060,18060,18060,-75,-75,1,9.03,114,
al2401,2023-08-17,18025,18075,18040,18060,17970,18000,18010,-75,-65,3184,28676.29,16802,
al2401,2023-08-18,18000,18010,18080,18140,17965,17990,18020,-20,10,5635,50778.025,18667,
al2407,2023-08-18,18060,18060,18120,18120,18035,18105,18085,45,25,7,63.3025,118,
al2401,2023-08-21,17990,18020,17990,18085,17970,18045,18025,25,5,2316,20876.5125,18866,
al2407,2023-08-21,18105,18085,18210,18210,18210,18210,18210,125,125,4,36.42,120,
